ADM0_EN,ADM0_TH,ADM0_PCODE,ADM1_EN,ADM2_TH,ADM1_Pcode,Year,Both_TOTAL,Both_00_04,Both_05_09,Both_10_14,Both_15_19,Both_20_24,Both_25_29,Both_30_34,Both_35_39,Both_40_44,Both_45_49,Both_50_54,Both_55_59,Both_60_64,Both_65_69,Both_70_74,Both_75_79,Both_80plus,Male_TOTAL,Male_00_04,Male_05_09,Male_10_14,Male_15_19,Male_20_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_64,Male_65_69,Male_70_74,Male_75_79,Male_80plus,Female_TOTAL,Female_00_04,Female_05_09,Female_10_14,Female_15_19,Female_20_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_64,Female_65_69,Female_70_74,Female_75_79,Female_80plus
Thailand,ประเทศไทย,TH,RANONG,ระนอง,TH85,2020,340692,24054,23682,23453,22893,26352,30029,27589,28763,27816,23341,22305,18052,14612,9684,7156,4977,5934,173693,12103,12355,12209,11278,13353,15775,14250,15051,14857,12146,11578,8857,7013,4605,3511,2339,2413,166999,11951,11327,11244,11615,12999,14254,13339,13712,12959,11195,10727,9195,7599,5079,3645,2638,3521
Thailand,ประเทศไทย,TH,RATCHABURI,ราชบุรี,TH70,2020,721366,40345,40550,41333,42656,43491,45278,43582,49231,53461,56299,56942,55446,47333,35568,27485,19283,23083,345226,20001,20374,20945,22222,23839,23601,22044,23983,25898,26389,26029,24967,21148,15428,11827,8036,8495,376140,20344,20176,20388,20434,19652,21677,21538,25248,27563,29910,30913,30479,26185,20140,15658,11247,14588
Thailand,ประเทศไทย,TH,RAYONG,ระยอง,TH21,2020,1188389,75838,65657,64425,71745,88257,111502,104977,111071,104900,89742,78602,66664,52812,39755,26604,17108,18730,604402,39202,33923,33019,37889,47317,59169,56256,58710,54863,44983,38362,32048,24080,18525,12117,7108,6831,583987,36636,31734,31406,33856,40940,52333,48721,52361,50037,44759,40240,34616,28732,21230,14487,10000,11899
Thailand,ประเทศไทย,TH,ROI ET,ร้อยเอ็ด,TH45,2020,848096,57403,55009,61613,50164,29978,31852,37309,55874,65923,65194,70646,72162,71397,53327,31002,20499,18744,411844,28935,28381,31689,25836,16864,16575,18207,26949,32552,31845,34025,34283,33084,24068,13272,8363,6916,436252,28468,26628,29924,24328,13114,15277,19102,28925,33371,33349,36621,37879,38313,29259,17730,12136,11828
Thailand,ประเทศไทย,TH,SA KAEO,สระแก้ว,TH27,2020,565874,42230,41986,41522,33058,27645,29001,29571,37707,44047,45533,45231,42466,35519,27112,19063,11892,12291,279983,21467,21801,21440,17395,15607,15167,14717,18237,21823,22071,22112,20204,16653,12638,8690,5209,4752,285891,20763,20185,20082,15663,12038,13834,14854,19470,22224,23462,23119,22262,18866,14474,10373,6683,7539
Thailand,ประเทศไทย,TH,SAKON NAKHON,สกลนคร,TH47,2020,768297,50853,54822,54380,48744,37324,39851,42256,56546,62745,60437,61742,58333,52294,38220,22042,13839,13869,375290,26018,27905,27815,24479,19410,20544,21020,27842,31322,29659,29327,27406,23867,17473,9683,5856,5664,393007,24835,26917,26565,24265,17914,19307,21236,28704,31423,30778,32415,30927,28427,20747,12359,7983,8205
Thailand,ประเทศไทย,TH,SAMUT PRAKAN,สมุทรปราการ,TH11,2020,2968727,120241,119335,130393,160984,233213,303893,279425,282603,281224,242003,222155,185905,145138,102363,68439,42292,49121,1454177,61568,60642,66218,85239,116635,152630,141752,139313,143227,118830,107129,85459,65386,45279,30270,17595,17005,1514550,58673,58693,64175,75745,116578,151263,137673,143290,137997,123173,115026,100446,79752,57084,38169,24697,32116
Thailand,ประเทศไทย,TH,SAMUT SAKHON,สมุทรสาคร,TH74,2020,1580413,59679,52536,53527,95431,210054,271477,187738,149515,125897,96548,79213,61560,49513,32878,23798,14476,16573,790632,30118,26319,27017,46155,101640,144013,101273,77983,65076,47243,37946,27353,22257,14187,10365,5942,5745,789781,29561,26217,26510,49276,108414,127464,86465,71532,60821,49305,41267,34207,27256,18691,13433,8534,10828
Thailand,ประเทศไทย,TH,SAMUT SONGKHRAM,สมุทรสงคราม,TH75,2020,152998,7168,7436,7691,7819,8199,9285,8914,9849,10907,11394,12208,12732,11346,9208,7101,5159,6582,73549,3810,3961,4042,4212,4346,5011,4645,4913,5426,5509,5653,5703,4846,4072,3094,2075,2231,79449,3358,3475,3649,3607,3853,4274,4269,4936,5481,5885,6555,7029,6500,5136,4007,3084,4351
Thailand,ประเทศไทย,TH,SARABURI,สระบุรี,TH19,2020,802049,59936,44744,44244,46933,51445,52744,51087,59929,65517,64990,62243,54907,45515,35123,25672,17333,19687,393471,38151,23083,22285,23950,28851,26726,25470,29447,31817,30900,28634,24278,20080,14866,10812,7174,6947,408578,21785,21661,21959,22983,22594,26018,25617,30482,33700,34090,33609,30629,25435,20257,14860,10159,12740
