report_country,state,population,source,year
Malaysia,Melaka,930000,MoH,2018
Malaysia,Johor,3760000,MoH,2018
Malaysia,Pahang,1670000,MoH,2018
Malaysia,Terengganu,1250000,MoH,2018
Malaysia,Kelantan,1890000,MoH,2018
Malaysia,Sabah,3900000,MoH,2018
Malaysia,Sarawak,2810000,MoH,2018
Malaysia,Wp Kuala Lumpur,1790000,MoH,2018
Malaysia,Wp Putrajaya,1.00E+05,MoH,2018
Malaysia,Wp Labuan,1.00E+05,MoH,2018
India,Andaman and Nicobar Islands,402571.4112,MoH,2020
India,Andhra Pradesh,53422441.03,MoH,2020
India,Arunachal Pradesh,1824228.421,MoH,2020
India,Assam,35996884.07,MoH,2020
India,Bihar,129595941.7,MoH,2020
India,Chandigarh,1227462.071,MoH,2020
India,Chhattisgarh,31089033.22,MoH,2020
India,Dadra and Nagar Haveli,486000.7088,MoH,2020
India,Daman and Diu,470000,MoH,2020
India,Delhi,20270061.46,MoH,2020
India,Goa,1781179.52,MoH,2020
India,Gujarat,68415488.52,MoH,2020
India,Haryana,30033588.64,MoH,2020
India,Himachal Pradesh,7674710.651,MoH,2020
India,Jammu and Kashmir,14354889.13,MoH,2020
India,Jharkhand,39207126.13,MoH,2020
India,Karnataka,70774487.83,MoH,2020
India,Kerala,34926745.23,MoH,2020
India,Ladakh,335505.0178,MoH,2020
India,Lakshadweep,67905.10174,MoH,2020
India,Madhya Pradesh,85993235.36,MoH,2020
India,Maharashtra,127216984,MoH,2020
India,Manipur,2943783.069,MoH,2020
India,Meghalaya,3787893.156,MoH,2020
India,Mizoram,1168166.182,MoH,2020
India,Nagaland,1978328.841,MoH,2020
India,Odisha,47095630.48,MoH,2020
India,Puducherry,1567980.736,MoH,2020
India,Punjab,31426631.79,MoH,2020
India,Rajasthan,81199068.03,MoH,2020
India,Sikkim,691858.0124,MoH,2020
India,Tamil Nadu,82597012.66,MoH,2020
India,Telangana,39828362.11,MoH,2020
India,Tripura,4118506.656,MoH,2020
India,Uttar Pradesh,230907000,MoH,2020
India,Uttarakhand,11890859.31,MoH,2020
India,West Bengal,100133200.1,MoH,2020
